id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,capital,surpro,profits,totdep,circulation,billsred,otherliabs,assets_check,diff,liabs_check,diff1
41134,1933,Daingerfield,National,Morris,48343,98991,151400,18305,87350,8850,364896,50000,25000,8019,231877,50000,0,0,364896,0,364896,0
41139,1933,Dallas,National Bank of Commerce,Dallas,48113,1001719,1948800,638341,1428151,154254,5171265,150000,150000,93419,4627846,150000,0,0,5171265,0,5171265,0
41901,1933,Dallas,Mercantile,Dallas,48113,6384388,2896475,1936240,4805506,461259,16483868,2000000,0,332827,13598142,500000,0,52899,16483868,0,16483868,0
41140,1933,Dallas,Republic National Bank,Dallas,48113,22014501,13264434,7646359,15725101,4698689,63349084,6000000,1000000,60138,50991724,3403270,0,1893952,63349084,0,63349084,0
41136,1933,Dallas,American Exchange,Dallas,48113,42119939,11678282,4346689,28463383,5040881,91649174,8000000,2000000,3058097,74374311,3623720,0,593046,91649174,0,91649174,0
41141,1933,Darrouzett,First,Lipscomb,48295,75085,0,3076,25473,4615,108249,25000,9000,1102,67008,0,6139,0,108249,0,108249,0
41142,1933,Dawson,First,Navarro,48349,97536,68500,3000,245951,11156,426143,50000,50000,12724,263419,50000,0,0,426143,0,426143,0
41145,1933,De Kalb,First,Bowie,48037,126486,0,47131,86930,41084,301631,100000,15000,955,185676,0,0,0,301631,0,301631,0
41146,1933,De Leon,Farmers and Merchants,Comanche,48093,124779,84700,2401,179102,20283,411265,50000,20000,0,291265,50000,0,0,411265,0,411265,0
42018,1933,Decatur,First,Wise,48497,71501,158050,56268,184835,27800,498454,50000,10000,8483,380691,49280,0,0,498454,0,498454,0
41148,1933,Del Rio,Del Rio,Val Verde,48465,991025,230000,14504,342942,53545,1632016,150000,50000,20756,1104145,100000,207115,0,1632016,0,1632016,0
41149,1933,Denison,Citizens,Grayson,48181,387337,249960,527912,265930,173303,1604442,150000,25000,5136,1324306,100000,0,0,1604442,0,1604442,0
41150,1933,Denison,State,Grayson,48181,756568,323891,891550,389158,77881,2439048,100000,150000,41750,2047298,100000,0,0,2439048,0,2439048,0
41151,1933,Denton,Denton County,Denton,48121,247994,135000,180378,87425,57957,708754,50000,10000,8140,588993,49100,0,2521,708754,0,708754,0
41152,1933,Deport,First,Lamar,48277,68279,88900,2400,130277,8574,298430,50000,30000,6186,188144,24100,0,0,298430,0,298430,0
41153,1933,Devine,Adams,Medina,48325,33082,50000,5508,5467,48318,142375,50000,0,-431,30892,50000,11914,0,142375,0,142375,0
41155,1933,Dodd City,First,Fannin,48147,9881,42950,1100,93612,4760,152303,30000,6000,2740,103563,10000,0,0,152303,0,152303,0
41156,1933,Dublin,Dublin,Erath,48143,321962,94800,4300,247771,13074,681907,60000,12000,53611,525448,24640,0,6208,681907,0,681907,0
41158,1933,Eagle Lake,First,Colorado,48089,90644,304262,71438,133076,32449,631869,75000,25000,20264,475504,36000,0,101,631869,0,631869,0
41159,1933,Eagle Pass,First,Maverick,48323,706700,326821,290813,614609,154186,2093129,150000,300000,20611,1460962,150000,0,11556,2093129,0,2093129,0
41161,1933,Eddy,First,McLennan,48309,75403,0,5050,93506,8352,182311,50000,15000,16259,101052,0,0,0,182311,0,182311,0
41162,1933,Edgewood,First,Van Zandt,48467,68086,25000,5223,37544,5358,141211,25000,0,2320,88891,25000,0,0,141211,0,141211,0
41164,1933,El Campo,First,Wharton,48481,192792,215000,45242,354015,20840,827889,100000,50000,30617,548922,98350,0,0,827889,0,827889,0
41169,1933,El Paso,El Paso,El Paso,48141,1573708,1326350,1115553,1194806,49956,5260373,300000,150000,43166,4450452,300000,0,16755,5260373,0,5260373,0
41170,1933,El Paso,State,El Paso,48141,3712877,4560750,947436,3421526,500289,13142878,300000,700000,223479,11592094,300000,0,27305,13142878,0,13142878,0
41165,1933,Eldorado,First,Schleicher,48413,270175,20000,3750,76662,15462,386049,75000,50000,27361,213688,20000,0,0,386049,0,386049,0
41167,1933,Elgin,Elgin,Bastrop,48021,104545,49000,74976,359793,42128,630442,50000,50000,6409,499027,25000,0,6,630442,0,630442,0
41172,1933,Emory,First,Rains,48379,99941,6250,38770,63615,7414,215990,25000,7000,42349,135391,6250,0,0,215990,0,215990,0
42033,1933,Ennis,Citizens,Ellis,48139,164279,257600,65144,293583,19230,799836,50000,2500,3738,693598,50000,0,0,799836,0,799836,0
41175,1933,Evant,First,Coryell,48099,52668,15900,5755,28703,5334,108360,25000,5000,2104,76256,0,0,0,108360,0,108360,0
41176,1933,Fabens,First,El Paso,48141,61830,25456,10936,173229,49651,321102,50000,25000,2759,242538,0,0,805,321102,0,321102,0
41177,1933,Falfurrias,First,Brooks,48047,220730,41000,74042,60618,25196,421586,50000,0,1760,329826,40000,0,0,421586,0,421586,0
41178,1933,Falls City,Falls City,Karnes,48255,36654,38800,1200,68873,10907,156434,25000,11000,3225,99209,18000,0,0,156434,0,156434,0
42049,1933,Farmersville,First,Collin,48085,152197,29154,12716,173382,24527,391976,25000,25000,504,341472,0,0,0,391976,0,391976,0
41180,1933,Fayettesville,Farmers,Fayette,48149,49796,42650,126543,82096,6565,307650,25000,0,2957,254693,25000,0,0,307650,0,307650,0
41182,1933,Floresville,First,Wilson,48493,260110,100200,18696,172240,18144,569390,100000,0,2218,357172,100000,0,10000,569390,0,569390,0
41184,1933,Floydada,First,Floyd,48153,145700,102551,21765,487916,51248,809180,50000,10000,2777,694978,50000,0,1425,809180,0,809180,0
41186,1933,Follett,Follett,Lipscomb,48295,65891,25180,49149,89342,12585,242147,25000,10000,356,181791,25000,0,0,242147,0,242147,0
41188,1933,Forney,Farmers,Kaufman,48257,101560,50000,14685,120130,12280,298655,50000,25000,9775,163880,50000,0,0,298655,0,298655,0
41193,1933,Fort Worth,Stockyards,Tarrant,48439,1505787,3034,118137,939317,114676,2680951,200000,0,108912,2346653,0,0,25386,2680951,0,2680951,0
41191,1933,Fort Worth,Continental,Tarrant,48439,2521616,2114334,758274,3661168,596520,9651912,750000,250000,27526,8624381,0,0,5,9651912,0,9651912,0
41190,1933,Fort Worth,First,Tarrant,48439,9685232,2715262,1296606,10812188,996876,25506164,1500000,300000,184908,23452003,0,0,69253,25506164,0,25506164,0
41192,1933,Fort Worth,Fort Worth,Tarrant,48439,13714336,5887407,4015527,8887503,1573359,34078132,2500000,750000,523927,28701662,1500000,0,102543,34078132,0,34078132,0
41195,1933,Franklin,First,Robertson,48395,141221,99650,16171,69198,8912,335152,50000,50000,1138,183034,50000,0,980,335152,0,335152,0
41902,1933,Fredericksburg,Fredericksburg,Gillespie,48171,84992,231581,82593,191405,3527,594098,50000,10000,8265,525833,0,0,0,594098,0,594098,0
41196,1933,Freeport,Freeport,Brazoria,48039,134822,153250,16883,70415,19618,394988,50000,12500,4230,315758,12500,0,0,394988,0,394988,0
42005,1933,Frost,First,Navarro,48349,20796,10000,3834,63520,2948,101098,40000,0,203,60895,0,0,0,101098,0,101098,0
42041,1933,Gainesville,Lindsay,Cooke,48097,506756,50200,22644,499747,37249,1116596,200000,0,7098,909498,0,0,0,1116596,0,1116596,0
41200,1933,Galveston,First,Galveston,48167,1439173,1824605,532213,444770,62543,4303304,200000,200000,29969,3552785,198750,120000,1800,4303304,0,4303304,0
