id,year,city,name,county,fips,loans,ussec,othsec,cchdufrm,otherassets,assets,assets_check,diffA,capital,surpro,profits,totdep,circulation,billsred,otherliabs,liabs_check,diffL
1104,1939,clifton springs,ontario,Ontario,36069,169401,175755,424036,157666,7263,934121,934121,0,50000,50000,46093,788028,0,0,0,934121,0
1105,1939,clinton,hayes,Oneida,36065,474596,342877,195820,183592,61482,1258367,1258367,0,109360,37640,29728,1081639,0,0,0,1258367,0
1106,1939,clyde,briggs nb and tc,Wayne,36117,385972,56180,315855,204737,19955,982699,982699,0,200000,25000,15172,742527,0,0,0,982699,0
1107,1939,cobleskill,first,Schoharie,36095,490378,2089411,984712,445007,24671,4034179,4034179,0,318160,50000,92083,3561936,0,0,12000,4034179,0
1108,1939,cohoes,nb,Albany,36001,613475,2800442,760244,695571,63114,4932846,4932846,0,250000,500000,172308,3999538,0,0,11000,4932846,0
1109,1939,cold spring,nb of cold spring on hudson,Putnam,36079,109208,14150,215340,151619,9400,499717,499717,0,50000,23900,31559,392758,0,0,1500,499717,0
1111,1939,cooperstown,first,Otsego,36077,649869,1213280,544699,493384,69761,2970993,2970993,0,290000,160000,34680,2486286,0,0,27,2970993,0
1112,1939,cooperstown,second,Otsego,36077,368145,1907654,519513,434109,115521,3344942,3344942,0,225000,200000,37244,2882691,0,0,7,3344942,0
1114,1939,copenhagen,copenhagen,Lewis,36049,47814,11077,22232,31330,20000,132453,132453,0,25000,5000,3054,99399,0,0,0,132453,0
1116,1939,corning,first nb and tc,Steuben,36101,865790,1671659,962287,633103,168169,4301008,4301008,0,150000,350000,155065,3630257,0,0,15686,4301008,0
1117,1939,cornwall,cornwall,Orange,36071,207580,557100,126712,202694,17862,1111948,1111948,0,144000,10000,7861,948729,0,0,1358,1111948,0
1120,1939,coxsackie,nb,Greene,36039,371680,225025,126570,223331,13224,959830,959830,0,100000,31000,32472,794358,0,0,2000,959830,0
1121,1939,croghan,croghan,Lewis,36049,517618,35000,230535,583636,15833,1382622,1382622,0,50000,75000,37133,1220489,0,0,0,1382622,0
1122,1939,croton-on-hudson,first,Westchester,36119,245944,493663,186722,157442,28610,1112381,1112381,0,25000,75000,64692,947689,0,0,0,1112381,0
1123,1939,cuba,first,Allegany,36003,211261,31735,118507,116076,16987,494566,494566,0,100000,31000,2577,360989,0,0,0,494566,0
1124,1939,cuba,cuba,Allegany,36003,503617,97746,224576,235920,10155,1072014,1072014,0,100000,83000,29326,859688,0,0,0,1072014,0
1125,1939,cutchogue,first,Suffolk,36103,153876,73425,57600,212750,31359,529010,529010,0,35000,15000,13070,465938,0,0,2,529010,0
1126,1939,dansville,merchants and farmers,Livingston,36051,526483,152853,374599,294869,61604,1410408,1410408,0,114950,0,31261,1264197,0,0,0,1410408,0
1127,1939,delhi,delaware,Delaware,36025,974124,482246,148832,326307,39609,1971118,1971118,0,162000,51000,11380,1745998,0,0,740,1971118,0
1128,1939,deposit,farmers,Broome,36007,416551,131673,123267,177242,15478,864211,864211,0,77000,37000,8883,741328,0,0,0,864211,0
1129,1939,dexter,first,Jefferson,36045,142450,78188,86784,186184,15582,509188,509188,0,50000,6000,19277,433910,0,0,1,509188,0
1130,1939,dolgeville,first,Herkimer,36043,851240,440084,317189,669189,38746,2316448,2316448,0,100000,100000,269231,1847215,0,0,2,2316448,0
1131,1939,dover plains,dover plains,Dutchess,36027,265407,235400,560741,257054,18017,1336619,1336619,0,100000,100000,150319,986294,0,0,6,1336619,0
1132,1939,downsville,first,Delaware,36025,215306,99937,80966,76964,11900,485073,485073,0,45000,7150,3989,428643,0,0,291,485073,0
1133,1939,dryden,first,Tompkins,36109,424107,30000,25563,90645,10303,580618,580618,0,55000,5000,13882,506621,0,0,115,580618,0
1134,1939,dundee,dundee,Yates,36123,131965,50347,124830,78808,3500,389450,389450,0,50000,7000,6267,326183,0,0,0,389450,0
1135,1939,dunkirk,lake shore,Chautauqua,36013,392215,1344922,1336097,582909,131542,3787685,3787685,0,225000,105000,77267,3380052,0,0,366,3787685,0
1136,1939,dunkirk,merchants,Chautauqua,36013,550327,977000,537701,734204,35513,2834745,2834745,0,200000,135000,45136,2441103,0,0,13506,2834745,0
1139,1939,east islip,first,Suffolk,36103,748641,242569,238466,351178,56043,1636897,1636897,0,100000,80500,18394,1420092,0,0,17911,1636897,0
1140,1939,east northport,citizens,Suffolk,36103,73147,47604,2251,296629,12886,432517,432517,0,75000,0,-17336,374434,0,0,419,432517,0
1141,1939,eastport,eastport,Suffolk,36103,159395,58150,42058,104622,15690,379915,379915,0,50000,20000,8818,300755,0,0,342,379915,0
1143,1939,east rockaway,east rockaway nb and tc,Nassau,36059,553489,94930,89954,245412,92869,1076654,1076654,0,100000,32000,33323,888064,0,0,23267,1076654,0
1144,1939,east setauket,tinker,Suffolk,36103,100452,83905,98246,72615,22376,377594,377594,0,40000,2000,2546,333048,0,0,0,377594,0
1548,1939,east williston,williston of williston park,Nassau,36059,196633,76800,223034,517673,13908,1028048,1028048,0,50000,25000,22591,929535,0,0,922,1028048,0
1145,1939,edmeston,first,Otsego,36077,278237,435914,267908,383622,35701,1401382,1401382,0,100000,100000,27006,1171875,0,0,2501,1401382,0
1146,1939,edwards,edwards,St Lawrence,36089,152782,15500,54974,33838,6400,263494,263494,0,25000,23000,1695,213777,0,0,22,263494,0
1147,1939,ellenville,first nb and tc,Ulster,36111,173833,108947,115844,188367,10000,596991,596991,0,100000,100000,18804,377817,0,0,370,596991,0
1148,1939,ellenville,home,Ulster,36111,235111,66200,57349,343794,54606,757060,757060,0,50000,100000,31299,575761,0,0,0,757060,0
1151,1939,elmsford,first,Westchester,36119,282895,81137,164142,364997,19025,912196,912196,0,100000,20000,7052,782671,0,0,2473,912196,0
1152,1939,endicott,endicott,Broome,36007,530181,86562,206047,225817,78597,1127204,1127204,0,125000,36000,55060,907769,0,0,3375,1127204,0
1154,1939,fairport,fairport nb and tc,Monroe,36055,909721,78112,655718,447281,64037,2154869,2154869,0,142750,57250,54598,1900266,0,0,5,2154869,0
1155,1939,falconer,first,Chautauqua,36013,484795,84037,208248,406045,73139,1256264,1256264,0,100000,0,12106,1144158,0,0,0,1256264,0
1156,1939,farmingdale,first,Nassau,36059,1342850,192663,316173,529272,43089,2424047,2424047,0,100000,150000,51250,2089299,0,0,33498,2424047,0
1158,1939,fleischmanns,first,Delaware,36025,162091,65972,12000,36478,24419,300960,300960,0,58000,7400,11324,224225,0,0,11,300960,0
1159,1939,floral park,first nb and tc,Nassau,36059,1759421,447990,614715,489843,164503,3476472,3476472,0,257000,91575,57557,2917218,0,0,153122,3476472,0
1623,1939,florida,nb,Orange,36071,313125,57600,31463,198833,14820,615841,615841,0,50000,35000,18682,511548,0,0,611,615841,0
1161,1939,fonda,national mohawk river,Montgomery,36057,130317,525227,533099,286076,30556,1505275,1505275,0,125000,31500,16242,1332533,0,0,0,1505275,0
1162,1939,forestville,first,Chautauqua,36013,162823,33160,47147,60127,13068,316325,316325,0,60000,0,-37775,294100,0,0,0,316325,0
1163,1939,fort edward,fort edward,Washington,36115,124444,189972,432971,440589,17170,1205146,1205146,0,75000,75000,88928,964718,0,0,1500,1205146,0
1164,1939,fort plain,fort plain,Montgomery,36057,573106,1144937,869258,765572,58042,3410915,3410915,0,200000,119000,97344,2994351,0,0,220,3410915,0
1165,1939,frankfort,citizens first,Herkimer,36043,428903,389801,441826,160905,58923,1480358,1480358,0,265000,0,4892,1203792,0,0,6674,1480358,0
1167,1939,franklin square,franklin square,Nassau,36059,2506094,66000,84255,430722,121753,3208824,3208824,0,125000,175000,36191,2565892,0,0,306741,3208824,0
1168,1939,franklinville,union,Cattaraugus,36009,302711,92327,239083,154015,70041,858177,858177,0,100300,39700,21247,696926,0,0,4,858177,0
1169,1939,fredonia,national,Chautauqua,36013,242914,90844,4501,778383,47319,1163961,1163961,0,149500,0,-5002,1019463,0,0,0,1163961,0
1170,1939,freeport,first nb and tc,Nassau,36059,1234510,940055,1157733,911867,278988,4523153,4523153,0,675000,0,-172871,4008348,0,0,12676,4523153,0
1171,1939,freeport,citizens,Nassau,36059,406340,178781,337021,707045,112571,1741758,1741758,0,225000,0,-65265,1582015,0,0,8,1741758,0
1172,1939,friendship,union,Allegany,36003,278229,48944,178364,195089,10150,710776,710776,0,100000,42800,12104,555439,0,0,433,710776,0
1173,1939,fulton,citizens nb and tc,Oswego,36075,559315,524596,1027767,359749,36765,2508192,2508192,0,162000,140000,84205,2117866,0,0,4121,2508192,0
1174,1939,fultonville,fultonville,Montgomery,36057,118480,171481,140736,91619,21092,543408,543408,0,50000,11600,25834,455974,0,0,0,543408,0
1175,1939,gainesville,gainesville,Wyoming,36121,130302,64270,128835,65236,15750,404393,404393,0,50000,0,-728,354640,0,0,481,404393,0
1177,1939,geneseo,genesee valley nb and tc,Livingston,36051,1069271,520211,624325,460315,68235,2742357,2742357,0,300000,16500,193681,2232176,0,0,0,2742357,0
1178,1939,geneva,nb,Ontario,36069,1829083,269700,426651,1127151,110647,3763232,3763232,0,317333,50000,99218,3253803,0,0,42878,3763232,0
1181,1939,glen cove,first,Nassau,36059,140143,20241,478005,363869,21142,1023400,1023400,0,100000,50100,34121,838696,0,0,483,1023400,0
1184,1939,glen head,first,Nassau,36059,450488,85153,119232,180298,10428,845599,845599,0,50000,30000,14319,732101,0,0,19179,845599,0
